#id_node              x              y              z
196          -37.272413      -2.500000     -50.000000
197          -50.000000     -50.000000      10.000000
198          -18.119409     -40.275968     -44.883810
199          -19.999561     -50.000000     -32.679238
200          -17.499841     -50.000000     -37.009527
201          -13.801296     -43.534539     -43.627125
202          -17.670691     -45.514311     -41.028757
203          -12.499974     -50.000000     -37.009604
204          -14.999950     -50.000000     -41.339717
205           -9.999996     -50.000000     -41.339743
206           50.000000     -50.000000     -50.000000
207            2.500000     -45.669873     -50.000000
208            2.500000     -50.000000     -45.669873
209            7.500000     -45.669873     -50.000000
210           12.500000     -50.000000     -45.669873
211           12.500000     -45.669873     -50.000000
212           -2.500000     -45.669873     -50.000000
213           -2.500000     -50.000000     -45.669873
214           -5.000000     -41.339746     -50.000000
215            0.000000     -41.339746     -50.000000
216           40.000000     -50.000000     -50.000000
217           25.000000     -50.000000     -50.000000
218           35.000000     -50.000000     -50.000000
219           17.500000     -50.000000     -45.669873
220           20.000000     -50.000000     -50.000000
221           17.500000     -45.669873     -50.000000
222           45.000000     -50.000000     -50.000000
223           30.000000     -50.000000     -50.000000
224           -7.500000     -37.009619     -50.000000
225           -2.500000     -37.009619     -50.000000
226          -50.000000      35.000000     -50.000000
227          -43.906132     -12.318819     -43.906132
228          -41.535707     -17.707750     -41.535619
229          -45.580273     -13.642584     -39.345671
230          -39.163614     -14.508707     -45.130982
231          -50.000000      -5.000000     -41.339746
232          -50.000000      -7.500000     -37.009619
233          -50.000000      -2.500000     -37.009619
234          -50.000000      -5.000000     -32.679492
235          -50.000000     -10.000000     -32.679492
236          -50.000000     -50.000000      15.000000
237          -50.000000     -50.000000      20.000000
238          -50.000000     -50.000000      25.000000
239          -50.000000     -50.000000      35.000000
240          -50.000000     -50.000000      40.000000
241          -50.000000     -50.000000      45.000000
242          -50.000000     -50.000000      50.000000
243          -12.149772     -38.260433     -44.549551
244          -20.878503     -34.921557     -45.131633
245          -17.503152     -37.012688     -50.000000
246          -20.018914     -32.697904     -50.000000
247          -15.003678     -32.683072     -50.000000
248          -22.499997     -28.349367     -50.000000
249          -17.503865     -28.353131     -50.000000
250          -27.429593     -19.705765     -50.000000
251          -50.000000     -27.500000     -28.349365
252          -44.601749     -44.599380     -25.906509
253          -45.299275     -50.000000     -23.064713
254          -40.107840     -50.000000     -23.749310
255          -50.000000     -45.281278     -23.127360
256          -50.000000     -41.961524     -20.000000
257          -50.000000     -40.009865     -23.969437
258          -50.000000     -37.410249     -19.740929
259          -44.863807     -30.003309     -29.062462
260          -44.696086     -36.419219     -30.453589
261          -50.000000     -34.985040     -24.027875
262          -50.000000     -29.997504     -24.020679
263          -50.000000     -32.503195     -28.337456
264          -50.000000     -50.000000      -5.000000
265          -50.000000     -50.000000     -10.000000
266          -45.669873     -50.000000     -17.500000
267          -50.000000     -45.669873     -17.500000
268          -41.915838     -50.000000     -19.829498
269          -50.000000     -45.595094     -12.554490
270          -45.595844     -50.000000     -12.550709
271          -41.417247     -41.396822     -30.516803
272          -38.987986     -44.934698     -26.152455
273          -43.597233     -38.662954     -25.170046
274          -35.022956     -50.000000     -23.939761
275          -27.484181     -50.000000     -28.340232
276          -29.978526     -50.000000     -24.006840
277          -40.704075     -50.000000     -15.208258
278          -37.500000     -50.000000     -19.689111
279          -36.500973     -44.064924     -21.177969
280          -14.999884     -50.000000     -32.679425
281          -17.499927     -50.000000     -28.349323
282          -20.000000     -50.000000     -24.019238
283          -25.000000     -50.000000     -24.019238
284          -50.000000     -32.499991     -19.689117
285          -50.000000     -45.669873       7.500000
286          -46.597490     -50.000000       7.271682
287          -50.000000     -46.665516      -2.500000
288          -46.665516     -50.000000      -2.500000
289          -45.450821     -50.000000       2.304916
290          -50.000000     -45.233268       2.197964
291          -50.000000     -41.797485       5.792827
292          -40.831427     -33.420648     -28.316290
293          -44.224513     -22.636363     -27.507626
294          -50.000000     -27.499993     -19.689116
295          -50.000000     -20.000000     -24.019238
296          -50.000000     -24.999583     -24.019479
297          -50.000000     -22.499920     -19.689158
298           -7.500000     -28.349365     -50.000000
299           -6.557984     -38.611653     -44.605660
300          -10.000000     -32.679492     -50.000000
301          -33.740898     -42.949775     -26.616563
302          -29.756935     -45.210702     -29.543481
303          -19.988059     -40.016350     -39.427446
304          -21.272321     -44.590896     -37.590908
305          -24.999253     -37.986068     -37.612183
306          -24.647047     -43.258052     -33.355659
307          -19.999951     -45.879237     -29.792543
308          -24.739913     -44.573616     -27.549938
309          -42.992097     -23.914854     -33.069099
310          -38.087770     -25.000000     -38.090062
