#iter   time                    x         y         z      curl_n  polarity     eig0_re     eig0_im     eig1_re     eig1_im  type
0       7.322257e-04      -5.8733   16.5473   50.0000     -0.0001       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04     -11.7292   25.9504   50.0000      0.0000       1.0      0.0002      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      -9.7184   -1.6436   50.0000      0.0001       1.0      0.0000      0.0000      0.0002      0.0000  source
0       7.322257e-04      30.4603   25.4452   50.0000     -0.0002       1.0     -0.0001      0.0001     -0.0001     -0.0001  spiral sink
0       7.322257e-04      25.6957   29.4886   50.0000      0.0002       1.0     -0.0001      0.0001     -0.0001     -0.0001  spiral sink
0       7.322257e-04      24.0405   -1.4050   50.0000     -0.0001       1.0     -0.0002      0.0000     -0.0001      0.0000  sink
0       7.322257e-04      24.1340   -3.7027   50.0000      0.0001       1.0      0.0002      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04     -31.5850   27.8921   50.0000      0.0000       1.0     -0.0002      0.0000      0.0001      0.0000  saddle
0       7.322257e-04       9.8847  -36.0150   50.0000     -0.0000       1.0     -0.0000      0.0000     -0.0001      0.0000  sink
0       7.322257e-04      32.1352   36.2631   50.0000     -0.0001       1.0     -0.0000      0.0000      0.0002      0.0000  saddle
0       7.322257e-04     -24.5247  -14.0437   50.0000      0.0000       1.0      0.0001      0.0000      0.0000      0.0000  source
0       7.322257e-04     -23.7185  -23.1694   50.0000     -0.0001       1.0     -0.0000      0.0000     -0.0001      0.0000  sink
0       7.322257e-04     -23.6245  -24.6539   50.0000     -0.0001       1.0     -0.0000      0.0000     -0.0000      0.0000  sink
0       7.322257e-04      29.6668  -17.7863   50.0000      0.0002       1.0      0.0002      0.0000      0.0000      0.0000  source
0       7.322257e-04      39.6224    2.1362   50.0000      0.0001       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      -6.4562  -20.0504   50.0000      0.0000       1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      -6.6497  -19.3894   50.0000      0.0000       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      -6.2595  -13.2052   50.0000      0.0001       1.0     -0.0001      0.0000      0.0000      0.0000  saddle
0       7.322257e-04      -6.2754  -27.3098   50.0000      0.0000       1.0     -0.0001      0.0000     -0.0000      0.0000  sink
0       7.322257e-04      38.2764  -39.3963   50.0000     -0.0001       1.0     -0.0001      0.0000     -0.0000      0.0000  sink
0       7.322257e-04      10.0582   26.5443   50.0000      0.0001       1.0     -0.0001      0.0000     -0.0002      0.0000  sink
0       7.322257e-04       9.2983   -1.9595   50.0000     -0.0001       1.0      0.0001      0.0000     -0.0002      0.0000  saddle
0       7.322257e-04      15.9126   30.9054   50.0000      0.0001       1.0      0.0000      0.0000      0.0002      0.0000  source
0       7.322257e-04       8.7636  -37.7330   50.0000     -0.0000       1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      -2.6030  -37.5557   50.0000     -0.0001       1.0     -0.0000      0.0000      0.0001      0.0000  saddle
0       7.322257e-04     -19.8482   38.1804   50.0000      0.0000       1.0      0.0001      0.0000      0.0002      0.0000  source
0       7.322257e-04      40.2323   -0.6175   50.0000     -0.0000       1.0      0.0002      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      22.6274   40.4729   50.0000      0.0000       1.0     -0.0000      0.0000     -0.0001      0.0000  sink
